time,topic,Indicator,Rating_kW,Next_time,Duration_hr,Consumption_MJ
2020-06-12 13:43:19.037194,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:43:31.205789,0.0033801652777777787,0.4100816515000001
2020-06-12 13:43:31.205789,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:43:43.552479,0.0034296361111111114,0.5938757889999999
2020-06-12 13:43:43.552479,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:44:08.338818,0.006885094166666667,0.6568379835000001
2020-06-12 13:44:08.338818,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:44:20.597085,0.003405074166666667,0.5013631203000001
2020-06-12 13:44:20.597085,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:44:32.930387,0.0034259172222222225,0.4156322774000001
2020-06-12 13:44:32.930387,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:44:45.316221,0.003440509444444445,0.3282246010000001
2020-06-12 13:44:45.316221,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:44:57.611283,0.0034152950000000005,0.5913924822000001
2020-06-12 13:44:57.611283,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:45:34.668342,0.0102936275,1.5156337131
2020-06-12 13:45:34.668342,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:45:46.988213,0.003422186388888889,0.0
2020-06-12 13:45:46.988213,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:45:59.339923,0.003431030555555556,0.5051849389999999
2020-06-12 13:45:59.339923,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:46:11.693219,0.0034314711111111114,0.5941935376000002
2020-06-12 13:46:11.693219,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:46:36.383768,0.006858485833333335,0.8320715013000002
2020-06-12 13:46:36.383768,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:46:48.732506,0.0034302050000000004,0.5939742978000001
2020-06-12 13:46:48.732506,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:47:01.062189,0.003424911944444445,0.0
2020-06-12 13:47:01.062189,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:47:13.427649,0.00343485,0.5057473140000001
2020-06-12 13:47:13.427649,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:47:25.773221,0.0034293255555555555,0.327157658
2020-06-12 13:47:25.773221,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:47:38.167178,0.003442765833333333,0.4176763509000001
2020-06-12 13:47:38.167178,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:47:50.451662,0.003412356666666668,0.5908836803999999
2020-06-12 13:47:50.451662,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:48:02.791829,0.0034278241666666678,0.5047128303
2020-06-12 13:48:02.791829,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:48:15.156059,0.0034345083333333338,0.4166745510000001
2020-06-12 13:48:15.156059,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:48:27.484101,0.003424456111111111,0.32669311300000003
2020-06-12 13:48:27.484101,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:48:52.218139,0.0068705661111111115,1.1897072278
2020-06-12 13:48:52.218139,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:49:04.551943,0.003426056666666667,0.0
2020-06-12 13:49:04.551943,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 13:50:56.455014,0.031084186388888893,5.3825377151000025
2020-06-12 13:50:56.455014,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:52:18.778869,0.0228677375,2.1815821575000003
2020-06-12 13:52:18.778869,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 13:53:41.168817,0.022886096666666668,2.7765412476000004
2020-06-12 13:53:41.168817,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 13:55:03.324763,0.022821096111111112,2.1771325690000003
2020-06-12 13:55:03.324763,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 13:56:25.610749,0.022857218333333332,3.3654968274000003
2020-06-12 13:56:25.610749,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 13:59:10.182060,0.04571425305555556,0.0
2020-06-12 13:59:10.182060,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:00:22.421756,0.020066582222222226,3.474729377600002
2020-06-12 14:00:22.421756,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:14:25.975573,0.23432050472222224,0.0
2020-06-12 14:14:25.975573,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:17:01.612952,0.04323260527777778,7.486157929900001
2020-06-12 14:17:01.612952,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:17:42.617165,0.011390059166666666,0.0
2020-06-12 14:17:42.617165,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,3.0,40.9,2020-06-12 14:18:23.808553,0.011442052222222223,1.6847277691999998
2020-06-12 14:18:23.808553,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:19:04.892680,0.0114122575,1.3845350799
2020-06-12 14:19:04.892680,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:19:46.123079,0.011452888611111113,0.0
2020-06-12 14:19:46.123079,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 14:20:27.369769,0.011457413888888893,1.093037285
2020-06-12 14:20:27.369769,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:22:34.302460,0.03525908083333334,0.0
2020-06-12 14:23:03.098135,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:24:29.564574,0.02401845527777778,0.0
2020-06-12 14:24:29.564574,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:24:58.295690,0.007980865555555555,0.9682386092
2020-06-12 14:25:27.292851,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 14:25:55.886374,0.007942645277777778,0.7577283595000001
2020-06-12 14:25:55.886374,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:27:22.128665,0.023956191944444448,0.0
2020-06-12 14:27:50.879768,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:28:19.756091,0.008021200833333334,0.0
2020-06-12 14:28:48.479794,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:30:14.871430,0.02399767666666667,0.0
2020-06-12 14:30:43.716587,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:32:38.870966,0.0319873275,0.0
2020-06-12 14:33:07.730205,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:33:36.461718,0.007980975833333334,0.0
2020-06-12 14:34:05.432714,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,4.0,48.1,2020-06-12 14:34:34.086858,0.007959484444444446,1.3782643264000003
2020-06-12 14:35:02.962013,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:35:31.659344,0.007971480833333334,0.9671000547000004
2020-06-12 14:35:31.659344,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:36:00.453820,0.007998465555555556,0.0
2020-06-12 14:36:00.453820,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,2.0,33.7,2020-06-12 14:36:58.142413,0.01602460916666667,1.9441055841000003
2020-06-12 14:36:58.142413,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,1.0,26.5,2020-06-12 14:37:26.848658,0.007973956944444445,0.7607154925
2020-06-12 14:37:26.848658,gogclpba/T_SKF/C003/NPB19F/RND/Level-Burner,0.0,0.0,2020-06-12 14:38:53.258796,0.02400281611111112,0.0
